,0
dataset_name,era5
max_training_set_size,1000
init_steps,10
pred_horizon,10
model,FNO
uncertainty_quantification,scoring-rule-reparam
batch_size,16
n_epochs,1000
early_stopping,10
init,default
learning_rate,0.001
lr_schedule,step
optimizer,adam
gradient_clipping,1
layer_normalization,True
data_loader_pin_memory,False
data_loader_num_workers,0
distributed_training,False
alpha,0.05
n_samples_uq,100
weight_decay,0
dropout,0.05
fourier_dropout,
hidden_channels,20
projection_channels,128
lifting_channels,128
n_modes,"(10, 12, 12)"
n_samples,3
t_training,56549.928
NumberParameters,2698534
MSEValidation,0.18239
EnergyScoreValidation,0.12996
CoverageValidation,0.85543
IntervalWidthValidation,0.06782
MSETest,0.30536
EnergyScoreTest,0.22704
CoverageTest,0.74912
IntervalWidthTest,0.06283
