,0
dataset_name,KS
max_training_set_size,10000
downscaling_factor,1
temporal_downscaling,2
init_steps,20
t_start,0
pred_horizon,20
model,FNO
uncertainty_quantification,laplace
batch_size,64
n_epochs,1000
early_stopping,10
init,default
learning_rate,0.001
lr_schedule,step
optimizer,adam
gradient_clipping,1
layer_normalization,True
data_loader_pin_memory,False
data_loader_num_workers,0
distributed_training,False
alpha,0.05
n_samples_uq,100
weight_decay,0
dropout,0.05
fourier_dropout,
hidden_channels,20
projection_channels,128
lifting_channels,128
n_modes,"(10, 12)"
n_samples,3
t_training,3438.298
NumberParameters,231589
MSETrain,0.78833
EnergyScoreTrain,0.77793
CoverageTrain,0.02081
IntervalWidthTrain,0.05532
MSEValidation,0.83521
EnergyScoreValidation,0.82471
CoverageValidation,0.01973
IntervalWidthValidation,0.05598
MSETest,0.83589
EnergyScoreTest,0.82495
CoverageTest,0.0207
IntervalWidthTest,0.05771
