,deterministic,deterministic,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,0.016437500715255737,0.0014724667416885495,0.012575000524520874,0.00018119964806828648,0.012655000202357769,0.0013559130020439625,0.012230000458657742,9.273608884541318e-05,0.013584999367594719,0.00036299650673754513
Gaussian NLLValidation,250929808.0,42991636.0,-1.3247325420379639,0.06211123988032341,-2.0119049549102783,0.22996975481510162,-2.422719955444336,0.010489145293831825,818.0733032226562,999.0238647460938
CoverageValidation,0.0,0.0,0.6380324959754944,0.00597677007317543,0.8511574864387512,0.07668906450271606,0.9667974710464478,0.00047084377729333937,0.7790549993515015,0.0325348861515522
IntervalWidthValidation,0.0,0.0,0.035875000059604645,0.00011818080383818597,0.08084499835968018,0.034500446170568466,0.099652498960495,0.001212803996168077,0.05821000039577484,0.002239448484033346
MSETest,0.025040000677108765,0.00010862780618481338,0.024044999852776527,5.802297164336778e-05,0.025104999542236328,9.983313066186383e-05,0.024244999513030052,3.0000590413692407e-05,0.024102499708533287,0.00011870807793457061
EnergyScoreTest,0.024412499740719795,0.00010563285468379036,0.020179999992251396,4.163408448221162e-05,0.01953750103712082,0.0006235043983906507,0.017385000362992287,2.6457186322659254e-05,0.018702499568462372,0.0001117655701818876
CRPSTest,0.026729999110102654,8.524448639946058e-05,0.021447500213980675,6.075916098779999e-05,0.020967500284314156,0.0004712656373158097,0.018732499331235886,6.94614282110706e-05,0.020442500710487366,0.0004145179991610348
Gaussian NLLTest,680990464.0,6432485.0,2.3623275756835938,0.023719919845461845,-0.15017500519752502,1.0099010467529297,-1.958702564239502,0.011080787517130375,616.9846801757812,1221.7293701171875
CoverageTest,0.0,0.0,0.4456225037574768,0.0014887775760143995,0.695580005645752,0.11693351715803146,0.8622974753379822,0.0032505427952855825,0.6535900235176086,0.022201672196388245
IntervalWidthTest,0.0,0.0,0.03514000028371811,0.00013316678814589977,0.08015500009059906,0.034411948174238205,0.09752750396728516,0.0011827206471934915,0.05764000117778778,0.0022369760554283857
