,deterministic,deterministic,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,0.7086300253868103,0.01024478767067194,0.596167802810669,0.006218339782208204,0.606707751750946,0.007586719002574682,0.5409583449363708,0.011679256334900856,0.473470002412796,0.0036780398804694414
Gaussian NLLValidation,407519854592.0,7591701504.0,107.02375030517578,22.57064437866211,43.609825134277344,10.866451263427734,4.537303924560547,2.083489179611206,1.2252410650253296,0.008221754804253578
CoverageValidation,0.0,0.0,0.3612533211708069,0.008562445640563965,0.39798998832702637,0.018648341298103333,0.780667245388031,0.0228518508374691,0.940476655960083,0.002839057007804513
IntervalWidthValidation,0.0,0.0,0.6057800054550171,0.01634174771606922,0.822451114654541,0.06635447591543198,3.1147966384887695,0.042575351893901825,3.258195638656616,0.029861081391572952
MSETest,0.9027977585792542,0.008550183847546577,0.8635411262512207,0.00476517528295517,0.8771666288375854,0.0054700858891010284,0.874761700630188,0.0075503867119550705,0.8639588952064514,0.003843783400952816
EnergyScoreTest,0.9024766683578491,0.008562015369534492,0.7540922164916992,0.0048964680172502995,0.7331789135932922,0.010257568210363388,0.6162533164024353,0.0052900612354278564,0.6081044673919678,0.002692667068913579
CRPSTest,0.7099877595901489,0.010624025948345661,0.5973933339118958,0.005809169728308916,0.6080600023269653,0.007711310405284166,0.5419472455978394,0.011722274124622345,0.47429779171943665,0.0036953764501959085
Gaussian NLLTest,408501649408.0,7732108800.0,107.10375213623047,22.94121551513672,43.93015670776367,10.876444816589355,4.539498805999756,2.0854811668395996,1.2268089056015015,0.008311713114380836
CoverageTest,0.0,0.0,0.35995110869407654,0.008181172423064709,0.39545777440071106,0.018857736140489578,0.7795394659042358,0.02319185808300972,0.9401388764381409,0.002972950926050544
IntervalWidthTest,0.0,0.0,0.6045722365379333,0.016371967270970345,0.8174833059310913,0.06694440543651581,3.108916759490967,0.04273032769560814,3.2593910694122314,0.029402824118733406
