,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,0.1101277768611908,0.010689815506339073,0.12883111834526062,0.013824950903654099,0.08111999928951263,0.00548357842490077,0.7961699962615967,0.34953439235687256
Gaussian NLLValidation,0.1816033273935318,0.5305609703063965,0.1154777780175209,0.2085965871810913,-0.5191033482551575,0.05069880187511444,1915007872.0,2889722112.0
CoverageValidation,0.7400844693183899,0.05391641706228256,0.9151633381843567,0.0636395514011383,0.99180668592453,0.0016181442188099027,0.32122665643692017,0.12512646615505219
IntervalWidthValidation,0.38448888063430786,0.011667330749332905,0.9763078093528748,0.21612992882728577,0.8917489051818848,0.046116456389427185,1.1725988388061523,0.4261713922023773
MSETest,1.3323655128479004,0.22823496162891388,1.544451117515564,0.26958248019218445,2777.871337890625,8329.650390625,9440.7763671875,19901.58203125
EnergyScoreTest,1.206629991531372,0.21773378551006317,1.283461093902588,0.24930250644683838,2683.4296875,8047.0947265625,7575.18994140625,16330.1767578125
CRPSTest,0.5043355226516724,0.07385782152414322,0.5412155389785767,0.10410355776548386,22.32354164123535,65.58084869384766,3560.6328125,7683.314453125
Gaussian NLLTest,25.393821716308594,3.3597826957702637,7.299352169036865,6.0597147941589355,6.055299758911133,0.7768776416778564,1.7112118157105745e+20,4.6477577403803e+20
CoverageTest,0.25107333064079285,0.004668502137064934,0.5253555774688721,0.1032981351017952,0.4694899916648865,0.020687999203801155,0.3055900037288666,0.16440287232398987
IntervalWidthTest,0.41037556529045105,0.030408907681703568,1.0291199684143066,0.2615804076194763,43.753604888916016,128.48904418945312,12591.6494140625,31898.556640625
