,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,1.299049973487854,0.6207652688026428,0.19001111388206482,0.02913154661655426,0.1340588927268982,0.008267665281891823,0.20455777645111084,0.005054679699242115
Gaussian NLLValidation,35.894996643066406,18.280853271484375,0.9108099937438965,0.9208556413650513,-0.0769033282995224,0.05373411253094673,38170468352.0,1714246912.0
CoverageValidation,0.16704332828521729,0.07557668536901474,0.8332855701446533,0.1223142072558403,0.9000044465065002,0.006874972488731146,0.02916555479168892,0.023183636367321014
IntervalWidthValidation,0.8716522455215454,0.2970884442329407,1.0690089464187622,0.3609909415245056,0.8908944725990295,0.043553199619054794,0.10173111408948898,0.0587284117937088
MSETest,913040.9375,2733686.5,1.5405255556106567,0.3697471022605896,1.2421499490737915,0.06495190411806107,1.1802843809127808,0.034525804221630096
EnergyScoreTest,746900.3125,2236010.25,1.261198878288269,0.333841472864151,0.9915000200271606,0.05345073714852333,0.9535099864006042,0.04129480943083763
CRPSTest,278341.4375,832959.5,0.5298733115196228,0.1335892528295517,0.4330344498157501,0.021451406180858612,0.4994777739048004,0.012984050437808037
Gaussian NLLTest,22.291839599609375,19.622949600219727,6.495813369750977,5.515413761138916,5.438544273376465,0.5447893738746643,217579929600.0,14086446080.0
CoverageTest,0.3530055582523346,0.13644739985466003,0.5758744478225708,0.1480400413274765,0.49350666999816895,0.020022457465529442,0.021203333511948586,0.020035525783896446
IntervalWidthTest,668138.6875,2001682.625,1.1925444602966309,0.4394104480743408,0.9210355877876282,0.07933766394853592,0.08502555638551712,0.05456068366765976
